metric,mean_percent,sd_percent,ci95_lower,ci95_upper
accuracy,88.15575358388222,3.7666362802417757,85.82116823033651,90.49033893742792
macro_precision,81.4057884750202,4.427565050432096,78.66155522562715,84.15002172441325
macro_recall,88.25482223640753,5.1051695890670015,85.09060534280353,91.41903913001154
macro_f1,83.77242655961383,4.852485440602011,80.76482492381265,86.78002819541501
weighted_f1,88.7543147257496,3.4912734758639257,86.59040100657006,90.91822844492913
good_precision,66.01712218946378,7.430959439566867,61.41136581170929,70.62287856721827
good_recall,88.42205323193916,9.231990841806986,82.7000060259458,94.14410043793252
good_f1,75.36284293842589,7.240971398246704,70.8748423686695,79.85084350818227
defect_precision,96.79445476057664,2.4386267321135744,95.28297825263202,98.30593126852126
defect_recall,88.08759124087591,4.003814560789616,85.6060012660317,90.56918121572012
defect_f1,92.18201018080181,2.61930231620903,90.5585497856459,93.80547057595773
