configuration,seed,true_id,pred_id,true_class,pred_class,count
Sensor-only LSTM,42,0,0,Good,Good,185
Sensor-only LSTM,42,0,1,Good,Burr,128
Sensor-only LSTM,42,0,2,Good,Flash-burr,42
Sensor-only LSTM,42,0,3,Good,Surface-groove/void,171
Sensor-only LSTM,42,1,0,Burr,Good,272
Sensor-only LSTM,42,1,1,Burr,Burr,72
Sensor-only LSTM,42,1,2,Burr,Flash-burr,490
Sensor-only LSTM,42,1,3,Burr,Surface-groove/void,114
Sensor-only LSTM,42,2,0,Flash-burr,Good,2
Sensor-only LSTM,42,2,1,Flash-burr,Burr,12
Sensor-only LSTM,42,2,2,Flash-burr,Flash-burr,424
Sensor-only LSTM,42,2,3,Flash-burr,Surface-groove/void,20
Sensor-only LSTM,42,3,0,Surface-groove/void,Good,11
Sensor-only LSTM,42,3,1,Surface-groove/void,Burr,0
Sensor-only LSTM,42,3,2,Surface-groove/void,Flash-burr,0
Sensor-only LSTM,42,3,3,Surface-groove/void,Surface-groove/void,638
Sensor-only LSTM,43,0,0,Good,Good,98
Sensor-only LSTM,43,0,1,Good,Burr,266
Sensor-only LSTM,43,0,2,Good,Flash-burr,26
Sensor-only LSTM,43,0,3,Good,Surface-groove/void,136
Sensor-only LSTM,43,1,0,Burr,Good,264
Sensor-only LSTM,43,1,1,Burr,Burr,94
Sensor-only LSTM,43,1,2,Burr,Flash-burr,486
Sensor-only LSTM,43,1,3,Burr,Surface-groove/void,104
Sensor-only LSTM,43,2,0,Flash-burr,Good,5
Sensor-only LSTM,43,2,1,Flash-burr,Burr,45
Sensor-only LSTM,43,2,2,Flash-burr,Flash-burr,387
Sensor-only LSTM,43,2,3,Flash-burr,Surface-groove/void,21
Sensor-only LSTM,43,3,0,Surface-groove/void,Good,0
Sensor-only LSTM,43,3,1,Surface-groove/void,Burr,0
Sensor-only LSTM,43,3,2,Surface-groove/void,Flash-burr,0
Sensor-only LSTM,43,3,3,Surface-groove/void,Surface-groove/void,649
Sensor-only LSTM,44,0,0,Good,Good,273
Sensor-only LSTM,44,0,1,Good,Burr,95
Sensor-only LSTM,44,0,2,Good,Flash-burr,18
Sensor-only LSTM,44,0,3,Good,Surface-groove/void,140
Sensor-only LSTM,44,1,0,Burr,Good,306
Sensor-only LSTM,44,1,1,Burr,Burr,224
Sensor-only LSTM,44,1,2,Burr,Flash-burr,314
Sensor-only LSTM,44,1,3,Burr,Surface-groove/void,104
Sensor-only LSTM,44,2,0,Flash-burr,Good,17
Sensor-only LSTM,44,2,1,Flash-burr,Burr,7
Sensor-only LSTM,44,2,2,Flash-burr,Flash-burr,417
Sensor-only LSTM,44,2,3,Flash-burr,Surface-groove/void,17
Sensor-only LSTM,44,3,0,Surface-groove/void,Good,245
Sensor-only LSTM,44,3,1,Surface-groove/void,Burr,0
Sensor-only LSTM,44,3,2,Surface-groove/void,Flash-burr,0
Sensor-only LSTM,44,3,3,Surface-groove/void,Surface-groove/void,404
Sensor-only LSTM,45,0,0,Good,Good,141
Sensor-only LSTM,45,0,1,Good,Burr,137
