configuration,fold,seed,best_epoch,best_validation_loss,training_experiments,validation_experiments,test_experiments
Sensor-only LSTM,1,42,15,1.0636238045287583,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,1,43,21,0.7782176821424276,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,1,44,50,0.8829354328929253,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,1,45,7,0.8218355825487172,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,1,46,28,0.614546753950339,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,1,47,1,1.0503482511208493,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,1,48,40,0.6152436572675685,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,1,49,21,0.8494616680675082,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,1,50,55,0.909019754711437,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,1,51,9,0.9958273084596018,exp_1|exp_4|exp_5|exp_6|exp_7|exp_8|exp_9,exp_11|exp_3,exp_10|exp_2
Sensor-only LSTM,2,42,1,1.3783447289312376,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,2,43,52,1.4101724709599373,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,2,44,3,1.176835283476127,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,2,45,1,1.537453926922693,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,2,46,3,1.5242099432399412,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,2,47,1,1.5188073828719861,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,2,48,1,1.1827689172382232,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,2,49,1,1.1217044213420628,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,2,50,1,1.0690379675727169,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,2,51,1,1.3144019000216127,exp_1|exp_10|exp_5|exp_6|exp_7|exp_8|exp_9,exp_2|exp_4,exp_11|exp_3
Sensor-only LSTM,3,42,2,0.8624718114265106,exp_1|exp_10|exp_3|exp_4|exp_5|exp_6|exp_9,exp_11|exp_2,exp_7|exp_8
Sensor-only LSTM,3,43,13,0.7641065732363135,exp_1|exp_10|exp_3|exp_4|exp_5|exp_6|exp_9,exp_11|exp_2,exp_7|exp_8
Sensor-only LSTM,3,44,2,0.6970946533874895,exp_1|exp_10|exp_3|exp_4|exp_5|exp_6|exp_9,exp_11|exp_2,exp_7|exp_8
Sensor-only LSTM,3,45,4,0.9146075055034405,exp_1|exp_10|exp_3|exp_4|exp_5|exp_6|exp_9,exp_11|exp_2,exp_7|exp_8
Sensor-only LSTM,3,46,3,0.7271392367920786,exp_1|exp_10|exp_3|exp_4|exp_5|exp_6|exp_9,exp_11|exp_2,exp_7|exp_8
