configuration,number_of_features,fold,seed,best_epoch,best_validation_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Sensor-only LSTM,8,1,42,15,1.0636238045287583,0.7384937238493724,0.4783476375046143,0.493882741981609,0.4851202416546845,0.720059603265789
Sensor-only LSTM,8,1,43,21,0.7782176821424276,0.5899581589958159,0.30288537480035804,0.5,0.35233322007022316,0.4880054840197125
Sensor-only LSTM,8,1,44,50,0.8829354328929253,0.6317991631799164,0.434954400195144,0.4595355625753615,0.4362963490554638,0.6237808730453822
Sensor-only LSTM,8,1,45,7,0.8218355825487172,0.7112970711297071,0.4963519403587896,0.50547527776425,0.49827331523300983,0.7036371326762204
Sensor-only LSTM,8,1,46,28,0.614546753950339,0.8096234309623431,0.40746704810713097,0.49860335195530725,0.4466556432686153,0.7292194737871064
Sensor-only LSTM,8,1,47,1,1.0503482511208493,0.41841004184100417,0.3479212253829322,0.3219178082191781,0.252425398099826,0.27902695169835956
Sensor-only LSTM,8,1,48,40,0.6152436572675685,0.805439330543933,0.40588932806324113,0.4962110074576996,0.44449778119132954,0.7256860310747474
Sensor-only LSTM,8,1,49,21,0.8494616680675082,0.7656903765690377,0.5470634839501124,0.5549818143736935,0.5484355783190982,0.7530478991796236
Sensor-only LSTM,8,1,50,55,0.909019754711437,0.8075313807531381,0.561288468031163,0.5748492403706624,0.567288117177805,0.7908305837843851
Sensor-only LSTM,8,1,51,9,0.9958273084596018,0.5794979079497908,0.40259917920656635,0.4893384408585417,0.3693613176023306,0.5117636403623257
Sensor-only LSTM,8,2,42,1,1.3783447289312376,0.6037735849056604,0.40209606569900685,0.3937679967091732,0.3681738137771514,0.588071360941756
Sensor-only LSTM,8,2,43,52,1.4101724709599373,0.7064989517819706,0.4609361283278323,0.4627468120115179,0.44996575505112996,0.7198458028279403
Sensor-only LSTM,8,2,44,3,1.176835283476127,0.3920335429769392,0.0980083857442348,0.25,0.1408132530120482,0.22081407390568564
Sensor-only LSTM,8,2,45,1,1.537453926922693,0.549266247379455,0.506993006993007,0.42842451665981074,0.321282833504048,0.4634464503060302
Sensor-only LSTM,8,2,46,3,1.5242099432399412,0.8511530398322851,0.42997726303822653,0.4959893048128342,0.4587102885083071,0.7918774440106453
Sensor-only LSTM,8,2,47,1,1.5188073828719861,0.6436058700209644,0.4580963067231071,0.46081859317153434,0.41669853182956884,0.6536272512624237
Sensor-only LSTM,8,2,48,1,1.1827689172382232,0.4863731656184486,0.17121753246753246,0.2980769230769231,0.217216281562352,0.34912257626851523
Sensor-only LSTM,8,2,49,1,1.1217044213420628,0.7693920335429769,0.4816332517726955,0.4681458247634718,0.4589787260974537,0.7298823033324503
Sensor-only LSTM,8,2,50,1,1.0690379675727169,0.5052410901467506,0.20300925925925928,0.34134615384615385,0.253646396048773,0.3629795083810524
Sensor-only LSTM,8,2,51,1,1.3144019000216127,0.6561844863731656,0.5005367946892924,0.5035479226655697,0.439918837319417,0.6623660483673582
Sensor-only LSTM,8,3,42,2,0.8624718114265106,0.023454157782515993,0.005863539445628998,0.25,0.011458333333333333,0.0010749822316986496
Sensor-only LSTM,8,3,43,13,0.7641065732363135,0.031982942430703626,0.25591397849462366,0.2523148148148148,0.01614177781204225,0.017985093530771202
Sensor-only LSTM,8,3,44,2,0.6970946533874895,0.3837953091684435,0.23396361444875513,0.19276094276094274,0.14817242164545924,0.5210830818008513
Sensor-only LSTM,8,3,45,4,0.9146075055034405,0.03837953091684435,0.25595238095238093,0.25405092592592593,0.019600572124807966,0.030465657319468997
Sensor-only LSTM,8,3,46,3,0.7271392367920786,0.031982942430703626,0.25591397849462366,0.2523148148148148,0.01614177781204225,0.017985093530771202
Sensor-only LSTM,8,3,47,5,0.7450468756992612,0.023454157782515993,0.005863539445628998,0.25,0.011458333333333333,0.0010749822316986496
Sensor-only LSTM,8,3,48,7,0.7286206898699267,0.03837953091684435,0.25595238095238093,0.25405092592592593,0.019600572124807966,0.030465657319468997
Sensor-only LSTM,8,3,49,3,0.8849586435833817,0.023454157782515993,0.005863539445628998,0.25,0.011458333333333333,0.0010749822316986496
Sensor-only LSTM,8,3,50,2,0.8531584914625315,0.03624733475479744,0.25593952483801297,0.2534722222222222,0.01845269059591931,0.026324445547042462
Sensor-only LSTM,8,3,51,4,0.8953950597555133,0.023454157782515993,0.005863539445628998,0.25,0.011458333333333333,0.0010749822316986496
Sensor-only LSTM,8,4,42,6,0.7341321605556416,0.6433770014556041,0.6892827522574358,0.5309353131933777,0.5264777498003453,0.6512242909340042
Sensor-only LSTM,8,4,43,3,0.6256375195345288,0.5909752547307132,0.44603950901419254,0.49867724867724866,0.4695157244838896,0.5586920926033425
Sensor-only LSTM,8,4,44,4,0.650667014611842,0.6069868995633187,0.6960395090141926,0.5085338795016214,0.48848124172526897,0.5895007057640111
Sensor-only LSTM,8,4,45,4,0.7895823524683027,0.7394468704512372,0.6927790798578919,0.5900750981396142,0.6025068161142082,0.775000815307348
Sensor-only LSTM,8,4,46,3,0.6275586287180582,0.5909752547307132,0.44603950901419254,0.49867724867724866,0.4695157244838896,0.5586920926033425
Sensor-only LSTM,8,4,47,3,0.6449655068245573,0.5924308588064047,0.6960395090141926,0.4995733060249189,0.4713014387696039,0.5615929035827562
Sensor-only LSTM,8,4,48,5,0.6274724424010303,0.6229985443959243,0.6960395090141926,0.5183905103259943,0.5060605749822285,0.6180575266006442
Sensor-only LSTM,8,4,49,8,0.5903252624365769,0.653566229985444,0.6903576908323743,0.5372077146270695,0.5360791919761497,0.6668213935077999
Sensor-only LSTM,8,4,50,9,0.7171885977251224,0.6462882096069869,0.6960395090141926,0.5327274278887182,0.5294526330012398,0.6560568522909158
Sensor-only LSTM,8,4,51,4,0.6448997409088807,0.5953420669577875,0.6952062643239114,0.5013654207202594,0.47431811164723714,0.5667641425487748
Sensor-only LSTM,8,5,42,2,0.8815703393278382,0.4787234042553192,0.2403846153846154,0.25,0.24509803921568626,0.46933667083854813
Sensor-only LSTM,8,5,43,14,0.7890351727698584,0.4,0.23857868020304568,0.2088888888888889,0.22274881516587677,0.4265402843601896
Sensor-only LSTM,8,5,44,4,0.7595664845072748,0.49361702127659574,0.33760683760683763,0.2631578947368421,0.2682768471627061,0.4955731087700685
Sensor-only LSTM,8,5,45,5,0.7407141089189477,0.4787234042553192,0.2403846153846154,0.25,0.24509803921568626,0.46933667083854813
Sensor-only LSTM,8,5,46,4,0.7517934265376637,0.4787234042553192,0.2403846153846154,0.25,0.24509803921568626,0.46933667083854813
Sensor-only LSTM,8,5,47,7,0.7623894785685109,0.4787234042553192,0.2403846153846154,0.25,0.24509803921568626,0.46933667083854813
Sensor-only LSTM,8,5,48,19,0.6518586196739469,0.46382978723404256,0.3233333333333333,0.2437593984962406,0.24719424460431655,0.4677177407010562
Sensor-only LSTM,8,5,49,4,0.7782904619440842,0.4787234042553192,0.2403846153846154,0.25,0.24509803921568626,0.46933667083854813
Sensor-only LSTM,8,5,50,23,0.7625449548477397,0.3574468085106383,0.48714285714285716,0.18820384294068504,0.2149074074074074,0.4057249802994484
Sensor-only LSTM,8,5,51,13,0.8026342294501059,0.4787234042553192,0.2403846153846154,0.25,0.24509803921568626,0.46933667083854813
Vision-only LSTM,12,1,42,4,0.5332197028229821,0.8723849372384938,0.6550498188405797,0.6175671538991352,0.6268153799535029,0.857044463030251
Vision-only LSTM,12,1,43,11,0.4606361041778788,0.8493723849372385,0.6477051503976318,0.604609734958182,0.6154061919851814,0.8373159111114602
Vision-only LSTM,12,1,44,3,0.36782761405473985,0.8744769874476988,0.6667303077639384,0.6128797734751664,0.6224913990825688,0.8540069239184676
Vision-only LSTM,12,1,45,52,0.4888466759418885,0.8640167364016736,0.6243224122276029,0.6261766281472412,0.6236413085029338,0.8474307859260442
Vision-only LSTM,12,1,46,32,0.4481338523953091,0.9100418410041841,0.6761989387264717,0.6792109895155736,0.6762988982848344,0.8919132735466115
Vision-only LSTM,12,1,47,7,0.4663708559247183,0.8765690376569037,0.65251231761338,0.6305004974362899,0.6371123141679782,0.8643396595713924
Vision-only LSTM,12,1,48,12,0.44257939505377153,0.897489539748954,0.672966180105782,0.6586630443100941,0.6627590308975273,0.8836420574857462
Vision-only LSTM,12,1,49,4,0.42659635129589707,0.8661087866108786,0.6479597166083837,0.6093211907859493,0.6187628269237103,0.8517106398861714
Vision-only LSTM,12,1,50,3,0.37412924917738893,0.8702928870292888,0.6587093062659091,0.6121144868753348,0.6234609385441214,0.8564150553121828
Vision-only LSTM,12,1,51,9,0.5319500009624963,0.8702928870292888,0.6598393617774079,0.6121144868753348,0.6240738329829109,0.857333114764428
Vision-only LSTM,12,2,42,2,0.5123925404080047,0.610062893081761,0.45043744801454055,0.4567821883998354,0.38839782035719844,0.6059935851616802
Vision-only LSTM,12,2,43,2,0.5893915316198608,0.6142557651991615,0.45872095648002387,0.4663975730152201,0.39249716013273583,0.6084828376084589
Vision-only LSTM,12,2,44,3,0.5945835248858831,0.9119496855345912,0.6379494620668389,0.6284707939119704,0.629236025694935,0.8913394173978728
Vision-only LSTM,12,2,45,2,0.49503561410224206,0.610062893081761,0.45043744801454055,0.4567821883998354,0.38839782035719844,0.6059935851616802
