configuration,number_of_features,seed,n_pooled_oof_sequences,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Sensor-only LSTM,8,42,2581,0.5110422316931422,0.4633296160208529,0.5841188583254856,0.4742121317666562,0.4292650892981829
Sensor-only LSTM,8,43,2581,0.4757845796203022,0.41069846515085906,0.5326115177886419,0.4403490455614477,0.4063362619287654
Sensor-only LSTM,8,44,2581,0.5106547849670671,0.5439978099496106,0.5720687059850462,0.5142371900414686,0.4877952111376379
Sensor-only LSTM,8,45,2581,0.5242154203796978,0.509613796637443,0.5804955678818703,0.4914231897351616,0.46742706565037073
Sensor-only LSTM,8,46,2581,0.557535838822162,0.5823538943909314,0.6545491322947731,0.5065461355558883,0.43795193856438874
Sensor-only LSTM,8,47,2581,0.44556373498643936,0.4166807132566497,0.5262855278473303,0.42991775061939375,0.3803471242232992
Sensor-only LSTM,8,48,2581,0.49631925610228594,0.44389101779895695,0.5715941091798841,0.4467684790495081,0.3961441515833268
Sensor-only LSTM,8,49,2581,0.5493994575745835,0.5735615309603251,0.6295570622118452,0.5185931026550628,0.4711873475595157
Sensor-only LSTM,8,50,2581,0.48663308795040683,0.45476443574839576,0.5442686132378056,0.44812498483457797,0.4135799938380731
Sensor-only LSTM,8,51,2581,0.47849670670282834,0.40585671975612353,0.5360336695652165,0.43365591029097017,0.40385973806646475
Vision-only LSTM,12,42,2581,0.7469972878729175,0.7509754751120463,0.7668992054265104,0.7548170611839113,0.7428509912213426
Vision-only LSTM,12,43,2581,0.7008911274699728,0.7195643524506112,0.7405796308401371,0.7195484987940203,0.6968428457420852
Vision-only LSTM,12,44,2581,0.8275862068965517,0.848089429069071,0.8561979934353847,0.8369054568822483,0.8269847153076791
Vision-only LSTM,12,45,2581,0.7163889965129795,0.7058645112703812,0.7228974650229738,0.7054781409855364,0.704453200244918
Vision-only LSTM,12,46,2581,0.8039519566059666,0.8132456778618934,0.8370481504382398,0.8123520341188393,0.8003136566313092
Vision-only LSTM,12,47,2581,0.7950406819062379,0.7989260692271359,0.8262888746366681,0.8015027116557054,0.791723414625798
Vision-only LSTM,12,48,2581,0.7326617590081363,0.7566839398381051,0.7791771176335046,0.7410010469652778,0.720676259575254
Vision-only LSTM,12,49,2581,0.7605579232855483,0.7560814284906828,0.7748597306868142,0.7629051980861312,0.7549501886423718
Vision-only LSTM,12,50,2581,0.8171251452925222,0.8219189082028451,0.8139567731758027,0.8170626779228835,0.8152467973150529
Vision-only LSTM,12,51,2581,0.7996900426191399,0.8018893039402771,0.8012826717692829,0.7991941090202738,0.7956830013057565
Fusion-LSTM without derivatives,10,42,2581,0.6931421929484696,0.7361380592377642,0.762095979124433,0.6927000630542471,0.6662470233106169
Fusion-LSTM without derivatives,10,43,2581,0.8179000387446727,0.8182596825307541,0.8331185128830019,0.823378574726142,0.8162517417039258
Fusion-LSTM without derivatives,10,44,2581,0.7683068578070515,0.7607994707917284,0.7864441776857677,0.7646986718401559,0.7645073510105227
Fusion-LSTM without derivatives,10,45,2581,0.7675319643549012,0.7665054203792736,0.8057709390483724,0.7670221302305512,0.7570007738410195
Fusion-LSTM without derivatives,10,46,2581,0.7466098411468423,0.7478053838711023,0.7725464744847378,0.7435846095335673,0.7402068979678526
Fusion-LSTM without derivatives,10,47,2581,0.7989151491669896,0.7929481825137967,0.8206043814964747,0.7972265788767336,0.793725427255446
Fusion-LSTM without derivatives,10,48,2581,0.7283998450213096,0.7553569668346327,0.7861645627579843,0.7290270150306205,0.7119020557351727
Fusion-LSTM without derivatives,10,49,2581,0.8558698179000388,0.852396553377775,0.8775660390061539,0.8580473674082503,0.8536152989613647
Fusion-LSTM without derivatives,10,50,2581,0.8469585432003099,0.8422465098577377,0.8723467995450966,0.8481787718705722,0.8438174807721687
Fusion-LSTM without derivatives,10,51,2581,0.8492832235567609,0.8459006797958964,0.8720250561886153,0.8526887711869868,0.8474866228065429
Fusion-LSTM with derivatives,20,42,2581,0.8628438589693918,0.8628783028012073,0.877081596656684,0.8662627103558844,0.861198250341011
Fusion-LSTM with derivatives,20,43,2581,0.8221619527314994,0.8305964922425654,0.8537958425264962,0.8278197032310581,0.8187712596528579
Fusion-LSTM with derivatives,20,44,2581,0.7539713289422705,0.7672465124123607,0.8056622815078198,0.7539506741912643,0.7387389689188416
Fusion-LSTM with derivatives,20,45,2581,0.7369236729949632,0.7565780244823819,0.7731218752625002,0.7327508929664195,0.7263181847323553
Fusion-LSTM with derivatives,20,46,2581,0.6582719876017048,0.7128028861579497,0.723114152195922,0.6525688834550651,0.6254930304906149
Fusion-LSTM with derivatives,20,47,2581,0.7818674932196823,0.7826286038701471,0.8221146803883128,0.7826586583027085,0.7721837834838676
Fusion-LSTM with derivatives,20,48,2581,0.835335141418055,0.832399902913091,0.8580674905860797,0.8387119238509357,0.8336789033254081
Fusion-LSTM with derivatives,20,49,2581,0.8640061991476172,0.8622668184334671,0.8838796087152412,0.8675119615821442,0.8629480525340741
Fusion-LSTM with derivatives,20,50,2581,0.795428128632313,0.8035777060582316,0.8387539645191866,0.7964599853329579,0.788707884675117
Fusion-LSTM with derivatives,20,51,2581,0.8209996125532739,0.8218963608256756,0.8342255887868394,0.8215589115059478,0.8184852667246142
