configuration,fold,seed,epoch,train_loss,validation_loss
Sensor-only LSTM,1,42,1,1.1332609558897264,1.2025618609392419
Sensor-only LSTM,1,42,2,0.729825063238578,1.6200742629089195
Sensor-only LSTM,1,42,3,0.5175494425924355,1.256022001025062
Sensor-only LSTM,1,42,4,0.4487591405269698,1.314630039270569
Sensor-only LSTM,1,42,5,0.3385375893937119,1.7233807752904653
Sensor-only LSTM,1,42,6,0.33374133783073,1.9639332756181433
Sensor-only LSTM,1,42,7,0.4329989930067262,1.766555736524754
Sensor-only LSTM,1,42,8,0.35904276858543266,1.4358547224938494
Sensor-only LSTM,1,42,9,0.3291818932853502,2.019077119837267
Sensor-only LSTM,1,42,10,0.32051294312559225,2.1198394102995253
Sensor-only LSTM,1,42,11,0.31501978716433854,2.2483495536340357
Sensor-only LSTM,1,42,12,0.30939717775927844,2.3811968527812377
Sensor-only LSTM,1,42,13,0.30659873154917033,2.5185556487967133
Sensor-only LSTM,1,42,14,0.3002544251461897,2.504098051592739
Sensor-only LSTM,1,42,15,0.3265213543711846,1.0636238045287583
Sensor-only LSTM,1,42,16,0.3474284738192259,2.4681455661353326
Sensor-only LSTM,1,42,17,0.29882984264750323,2.3410277378821522
Sensor-only LSTM,1,42,18,0.2818268102400124,2.6336788605718993
Sensor-only LSTM,1,42,19,0.27739247731030503,2.919835156739633
Sensor-only LSTM,1,42,20,0.2669593416163549,2.56335054822188
Sensor-only LSTM,1,42,21,0.27288084621065806,2.659787285908963
Sensor-only LSTM,1,42,22,0.2605839030035894,2.6213663521552735
Sensor-only LSTM,1,42,23,0.25522247083292676,2.825512176570902
Sensor-only LSTM,1,42,24,0.25868170648849903,3.166012999396654
Sensor-only LSTM,1,42,25,0.24927507971412288,2.9118110040198832
Sensor-only LSTM,1,42,26,0.24076582735168392,3.290166386768253
Sensor-only LSTM,1,42,27,0.26143441989852934,2.743352989168287
Sensor-only LSTM,1,42,28,0.23783402801989628,2.9992866229336217
Sensor-only LSTM,1,42,29,0.23755398561300534,2.7659233429271968
Sensor-only LSTM,1,42,30,0.22515025133722968,3.6805554693974787
Sensor-only LSTM,1,42,31,0.23184082645185172,3.4627233842071496
Sensor-only LSTM,1,42,32,0.2111962474470209,3.482575735299842
Sensor-only LSTM,1,42,33,0.23045246402056016,2.7841030417998134
Sensor-only LSTM,1,42,34,0.23394322364166067,2.9746265971810564
Sensor-only LSTM,1,42,35,0.19896792232770322,3.1261442883147135
Sensor-only LSTM,1,42,36,0.18466888269155227,3.6921036384952894
Sensor-only LSTM,1,42,37,0.18735740127598668,3.8756400397051305
Sensor-only LSTM,1,42,38,0.1737797850832288,4.331540085515886
Sensor-only LSTM,1,42,39,0.2089087788799152,2.89258385585539
Sensor-only LSTM,1,42,40,0.2366708269638329,3.44561081802945
Sensor-only LSTM,1,42,41,0.20122635874984302,3.3524758294380934
Sensor-only LSTM,1,42,42,0.1820904668260178,3.6930761518468396
Sensor-only LSTM,1,42,43,0.18058176721740618,3.6580263407787688
Sensor-only LSTM,1,42,44,0.1631954769440096,3.6080970144371816
Sensor-only LSTM,1,42,45,0.15119299295313685,3.9622118704067835
Sensor-only LSTM,1,42,46,0.15671193192805752,3.977229942190822
Sensor-only LSTM,1,42,47,0.13082133127241263,4.251726303804095
Sensor-only LSTM,1,42,48,0.13280800998504164,4.254684297574891
Sensor-only LSTM,1,42,49,0.13726121225700166,5.999029535917366
Sensor-only LSTM,1,42,50,0.22040962864075492,4.598832337486419
Sensor-only LSTM,1,42,51,0.13593112630597778,4.219143649285944
Sensor-only LSTM,1,42,52,0.12341507961389324,4.192343225331676
Sensor-only LSTM,1,42,53,0.12261325439843744,4.270949730551967
Sensor-only LSTM,1,42,54,0.1231719043385352,4.1295650017211525
Sensor-only LSTM,1,42,55,0.11738711142818573,3.866351684153205
Sensor-only LSTM,1,42,56,0.11517234381201229,4.347033052855568
Sensor-only LSTM,1,42,57,0.13054174613688704,4.300208382542778
Sensor-only LSTM,1,42,58,0.15798057785296646,4.009478737098366
Sensor-only LSTM,1,42,59,0.11354676167610094,4.137969739500831
Sensor-only LSTM,1,42,60,0.11672048447573463,4.271235306495391
Sensor-only LSTM,1,43,1,1.157640208690662,1.5048308128830772
Sensor-only LSTM,1,43,2,0.6764282674367138,1.2745898452194981
Sensor-only LSTM,1,43,3,0.5100276604349763,1.2477987579829537
Sensor-only LSTM,1,43,4,0.461822918713606,1.324187125893509
Sensor-only LSTM,1,43,5,0.359754780121835,1.3938926776687555
Sensor-only LSTM,1,43,6,0.35486340480610307,2.010303132657735
Sensor-only LSTM,1,43,7,0.32547296031961287,1.9544563234102301
Sensor-only LSTM,1,43,8,0.31589479108431534,2.1751256895015323
Sensor-only LSTM,1,43,9,0.31684027482076177,1.8180773972027957
Sensor-only LSTM,1,43,10,0.350179579425122,2.233043965022519
Sensor-only LSTM,1,43,11,0.4238402100066857,0.9125513775543597
Sensor-only LSTM,1,43,12,0.4045391860263374,1.0683359117627893
Sensor-only LSTM,1,43,13,0.34334535255276705,1.9787494289362706
Sensor-only LSTM,1,43,14,0.3155795800766528,2.273356985214871
Sensor-only LSTM,1,43,15,0.3144342711637527,2.0650456382481055
Sensor-only LSTM,1,43,16,0.3042839304767412,2.522500258571697
Sensor-only LSTM,1,43,17,0.3101753121079261,2.574489380859729
Sensor-only LSTM,1,43,18,0.30309366575026425,2.7435214575419136
Sensor-only LSTM,1,43,19,0.32391187130745047,2.9553996242692135
Sensor-only LSTM,1,43,20,0.34464369589625543,0.8796615929223707
Sensor-only LSTM,1,43,21,0.3840928170807101,0.7782176821424276
Sensor-only LSTM,1,43,22,0.3343477682433885,0.9568228613218172
Sensor-only LSTM,1,43,23,0.30684390185723887,1.1843273851481624
Sensor-only LSTM,1,43,24,0.30863117394558764,1.3852218969625496
Sensor-only LSTM,1,43,25,0.3037646434110616,1.410780880982896
Sensor-only LSTM,1,43,26,0.29236234766677444,1.6254569811266173
Sensor-only LSTM,1,43,27,0.2992702382370408,1.8005822614866234
Sensor-only LSTM,1,43,28,0.29609021438150535,1.7159739259778828
Sensor-only LSTM,1,43,29,0.2945645098903229,1.7521533498411659
Sensor-only LSTM,1,43,30,0.29378590876692484,2.236476530975016
Sensor-only LSTM,1,43,31,0.2853048168865077,2.561027145626285
Sensor-only LSTM,1,43,32,0.28327066441230375,2.319818128423621
Sensor-only LSTM,1,43,33,0.27916704761586064,2.5530440226290962
Sensor-only LSTM,1,43,34,0.28420534200260705,2.9437055742403246
Sensor-only LSTM,1,43,35,0.27277794157740226,2.9149225715165117
Sensor-only LSTM,1,43,36,0.2985694318239979,3.2841973977331347
Sensor-only LSTM,1,43,37,0.2575283265348437,3.6409710410755887
Sensor-only LSTM,1,43,38,0.26923005427674906,2.6960494931576386
Sensor-only LSTM,1,43,39,0.2763229397573448,3.629482232018587
Sensor-only LSTM,1,43,40,0.2666954120293461,3.6154771860321864
Sensor-only LSTM,1,43,41,0.2520683785352906,3.439238516570887
Sensor-only LSTM,1,43,42,0.24893394253717285,2.990939908151357
Sensor-only LSTM,1,43,43,0.24526334780315337,3.158677866780033
Sensor-only LSTM,1,43,44,0.3143665933429388,2.6186116701402002
Sensor-only LSTM,1,43,45,0.283550547204481,3.373711124359312
Sensor-only LSTM,1,43,46,0.27596244542214554,3.631217502916634
Sensor-only LSTM,1,43,47,0.2744488758281295,3.6121518471018574
Sensor-only LSTM,1,43,48,0.2653318863879857,3.917993236231604
Sensor-only LSTM,1,43,49,0.2580106130092053,3.660144147820443
Sensor-only LSTM,1,43,50,0.2515355872189647,3.8834641765748428
Sensor-only LSTM,1,43,51,0.2303419057990059,4.35798750708438
Sensor-only LSTM,1,43,52,0.2254841787348814,4.354949986097448
Sensor-only LSTM,1,43,53,0.22922700427261813,3.998794138056677
Sensor-only LSTM,1,43,54,0.22487347337519256,4.299097728398111
Sensor-only LSTM,1,43,55,0.22330588252635314,4.4376939886895865
Sensor-only LSTM,1,43,56,0.22477533049689008,4.748965334998487
Sensor-only LSTM,1,43,57,0.19291831241395935,4.858441426662779
Sensor-only LSTM,1,43,58,0.18768341140993408,5.01199620349852
Sensor-only LSTM,1,43,59,0.17042826178402332,5.416703416522694
Sensor-only LSTM,1,43,60,0.17694737893262327,5.3291372451892185
Sensor-only LSTM,1,44,1,1.18366437937794,1.2077686761660147
Sensor-only LSTM,1,44,2,0.7409938896420843,1.3087390168907758
Sensor-only LSTM,1,44,3,0.7040654828480982,1.3176093817506946
Sensor-only LSTM,1,44,4,0.6987409738303697,1.2692082354357657
Sensor-only LSTM,1,44,5,0.6465412448693025,1.3982050979912155
Sensor-only LSTM,1,44,6,0.572435232582714,1.16627864411542
Sensor-only LSTM,1,44,7,0.4376255984235954,1.639371171312512
Sensor-only LSTM,1,44,8,0.3988679857124995,1.715739248527421
Sensor-only LSTM,1,44,9,0.35209291599700077,1.5389579004086789
Sensor-only LSTM,1,44,10,0.3419951873878418,1.876930384765881
Sensor-only LSTM,1,44,11,0.32261393320956355,1.9270327220235481
Sensor-only LSTM,1,44,12,0.3175493114402227,1.8789964892141975
Sensor-only LSTM,1,44,13,0.31460041861619165,2.2476158148962497
Sensor-only LSTM,1,44,14,0.3142893938634082,2.106624796330554
Sensor-only LSTM,1,44,15,0.3030715834390633,2.2667598661261783
Sensor-only LSTM,1,44,16,0.30096603209682055,2.3375919740217537
Sensor-only LSTM,1,44,17,0.3156027506125076,2.54225606710281
Sensor-only LSTM,1,44,18,0.31460018116902894,2.757277539378692
